MORA60;Edad;Ingreso_Mensual;Max_Calif;Nivel_Educativo;Situacion_Casa
1;39;2100;0;PROFESIONAL;FAMILIAR
1;39;2800;0;TECNICO;PROPIA
0;40;4384.15;1;TECNICO;FAMILIAR
1;40;4699;0;PROFESIONAL;FAMILIAR
1;41;2020;0;PROFESIONAL;FAMILIAR
1;41;14500;1;PROFESIONAL;PROPIA
1;41;2220;1;TECNICO;FAMILIAR
1;41;6606.63;0;PROFESIONAL;PROPIA
1;41;4300;1;PROFESIONAL;FAMILIAR
0;45;2843.67;1;TECNICO;FAMILIAR
1;45;9287.9;0;PROFESIONAL;FAMILIAR
1;45;3924.98;0;PROFESIONAL;FAMILIAR
1;46;2187;1;TECNICO;FAMILIAR
1;46;1775.74;0;TECNICO;FAMILIAR
1;46;1321.74;0;PROFESIONAL;FAMILIAR
0;47;4500;0;PROFESIONAL;PROPIA
0;48;1366;0;PROFESIONAL;PROPIA
1;48;4900;1;TECNICO;FAMILIAR
1;48;4900;1;TECNICO;FAMILIAR
1;48;1800;1;TECNICO;PROPIA
1;49;2500;0;PROFESIONAL;FAMILIAR
1;50;2247;0;TECNICO;PROPIA
1;51;2550;0;PROFESIONAL;FAMILIAR
1;52;3137.25;4;TECNICO;FAMILIAR
1;52;2500;0;TECNICO;FAMILIAR
1;52;4500;0;PROFESIONAL;FAMILIAR
1;55;4500;0;PROFESIONAL;PROPIA
0;57;1500;0;PROFESIONAL;FAMILIAR
1;21;700;0;TECNICO;FAMILIAR
1;21;800;0;TECNICO;FAMILIAR
1;21;1200;0;TECNICO;FAMILIAR
1;21;851.55;1;TECNICO;FAMILIAR
0;22;2100;0;PROFESIONAL;FAMILIAR
1;22;6507.63;2;PROFESIONAL;FAMILIAR
1;22;1007.89;3;TECNICO;PROPIA
1;22;750;0;TECNICO;FAMILIAR
1;22;697.55;0;PROFESIONAL;FAMILIAR
1;22;996.5;0;TECNICO;FAMILIAR
1;22;896;0;PROFESIONAL;FAMILIAR
1;22;1322.33;0;PROFESIONAL;FAMILIAR
1;22;2100;0;SUPERIOR;FAMILIAR
0;23;1017.03;0;TECNICO;PROPIA
0;23;944.29;0;TECNICO;FAMILIAR
1;23;1468.75;2;TECNICO;FAMILIAR
1;23;988.3;0;TECNICO;FAMILIAR
0;24;1272.95;0;TECNICO;PROPIA
0;24;2100;0;TECNICO;FAMILIAR
0;24;1566.73;0;SUPERIOR;FAMILIAR
1;24;820;0;TECNICO;FAMILIAR
1;24;737.65;0;TECNICO;FAMILIAR
1;24;848.61;0;TECNICO;FAMILIAR
1;24;1034.19;0;TECNICO;FAMILIAR
1;24;850;0;TECNICO;FAMILIAR
1;24;890;0;TECNICO;FAMILIAR
1;24;1400;0;SUPERIOR;FAMILIAR
1;24;644.72;0;SUPERIOR;FAMILIAR
1;24;1800;2;TECNICO;FAMILIAR
1;24;895.42;0;PROFESIONAL;FAMILIAR
1;24;4500;3;SUPERIOR;FAMILIAR
0;25;1053.18;0;TECNICO;FAMILIAR
0;25;2100;0;SUPERIOR;FAMILIAR
1;25;803.48;0;TECNICO;PROPIA
1;25;1900;2;PROFESIONAL;FAMILIAR
1;25;1800;1;PROFESIONAL;FAMILIAR
